flight_no,airline,duration,price,most_common_depart_day,most_common_depart_time,most_common_meal,most_common_equipment,avg_on_time,departure airport,departure city,arrival airport,arrival city
1244,Delta,83,213.4881013,Wednesday,6:00:00,,Airbus A319,100,"Boston, USA",BOS,"New York, USA",JFK
357,Virgin America,402,339.9933463,Wednesday,18:59:00,,Airbus A320,70,"Boston, USA",BOS,"San Francisco, USA",SFO
1019,American Airlines,376,299.8263971,Friday,9:43:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Los Angeles, USA",LAX
1670,American Airlines,99,312.3105936,Saturday,13:15:00,,Embraer 190,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
2121,American Airlines,71,198.3526774,Monday,11:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
4511,American Airlines,94,238.0742857,Saturday,16:15:00,,Embraer 175,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
6237,Delta,89,222.8124561,Tuesday,17:10:00,,,80,"Boston, USA",BOS,"New York, USA",JFK
569,JetBlue Airways,203,594.6472,Sunday,9:25:00,,Airbus A320,90,"Boston, USA",BOS,"Fort Lauderdale, USA",FLL
2148,American Airlines,76,218.5065482,Monday,6:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
6301,Delta,129,230.7632432,Monday,17:00:00,,,90,"Boston, USA",BOS,"Raleigh, USA",RDU
2843,Delta,185,236.2884615,Monday,19:45:00,Refreshment for purchase,MDC MD90,90,"Boston, USA",BOS,"Atlanta, USA",ATL
1404,American Airlines,177,282.9726996,Saturday,7:00:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Chicago, USA",ORD
6292,Delta,128,280.4887097,Sunday,14:15:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
2129,American Airlines,94,290.892852,Sunday,13:00:00,,Airbus A319,100,"Boston, USA",BOS,"Washington, USA",DCA
269,Delta,189,216.8130102,Friday,16:05:00,Refreshment for purchase,Boeing 757,100,"Boston, USA",BOS,"Atlanta, USA",ATL
1879,American Airlines,141,264.9346774,Thursday,12:51:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
2002,American Airlines,140,267.3352941,Saturday,11:05:00,Food For Purchase,Airbus A319,100,"Boston, USA",BOS,"Charlotte, USA",CLT
861,American Airlines,146,265.6876471,Sunday,17:10:00,Food For Purchase,Airbus A320,90,"Boston, USA",BOS,"Charlotte, USA",CLT
1762,Delta,173,312.333375,Tuesday,12:05:00,Refreshment for purchase,MDC MD90,100,"Boston, USA",BOS,"Atlanta, USA",ATL
1951,JetBlue Airways,172,1063.7,Sunday,21:35:00,,Airbus A320,50,"Boston, USA",BOS,"Orlando, USA",MCO
1635,United,402,378.5827586,Wednesday,8:17:00,Food For Purchase,Boeing 757 (757-300),100,"Boston, USA",BOS,"San Francisco, USA",SFO
2588,Delta,184,387.6058929,Friday,11:24:00,Refreshment for purchase,Boeing 737-900,100,"Boston, USA",BOS,"Minneapolis, USA",MSP
3707,Delta,143,293.4008333,Friday,6:30:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
543,American Airlines,87,272.7048649,Friday,6:00:00,,Airbus A321,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
4225,United,78,211.6596774,Sunday,8:30:00,,Embraer EMB-145,-1,"Boston, USA",BOS,"Newark, USA",EWR
656,American Airlines,90,378.130873,Saturday,8:00:00,,Airbus A321,80,"Boston, USA",BOS,"Philadelphia, USA",PHL
25,Alaska Airlines,373,402.1794476,Saturday,7:00:00,"Food For Purchase,Food For Purchase",Boeing 737-900,-1,"Boston, USA",BOS,"Seattle, USA",SEA
836,American Airlines,139,237.6629858,Thursday,11:10:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
639,American Airlines,328,405.2542857,Sunday,10:15:00,Food For Purchase,Airbus A321,-1,"Boston, USA",BOS,"Phoenix, USA",PHX
6223,Delta,125,410.5721053,Sunday,11:40:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
429,United,383,250.7852459,Sunday,7:02:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Los Angeles, USA",LAX
824,American Airlines,90,351.9549157,Friday,8:00:00,,Airbus A320,80,"Boston, USA",BOS,"Philadelphia, USA",PHL
254,United,407,388.6223529,Sunday,20:50:00,Food and beverage for purchase,Boeing 737-800,-1,"Boston, USA",BOS,"San Francisco, USA",SFO
3549,United,167,567.6,Saturday,16:44:00,Food and beverage for purchase,,-1,"Boston, USA",BOS,"Chicago, USA",ORD
1721,American Airlines,145,370.1238889,Saturday,14:35:00,Food For Purchase,Airbus A319,100,"Boston, USA",BOS,"Charlotte, USA",CLT
2146,American Airlines,78,210.8724805,Monday,16:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
3960,Delta,76,284.6131944,Thursday,13:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1059,JetBlue Airways,102,111.4188636,Monday,15:35:00,,Embraer 190,99,"Boston, USA",BOS,"Philadelphia, USA",PHL
1086,American Airlines,209,259.94,Saturday,16:55:00,Food For Purchase,,80,"Boston, USA",BOS,"Miami, USA",MIA
1159,JetBlue Airways,101,126.1309607,Monday,18:10:00,,Embraer 190,80,"Boston, USA",BOS,"Philadelphia, USA",PHL
1155,American Airlines,167,233.2740268,Saturday,5:30:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Chicago, USA",ORD
1657,United,85,329.6780519,Sunday,21:23:00,,Boeing 737-900,90,"Boston, USA",BOS,"Newark, USA",EWR
3744,Delta,132,242.6,Saturday,10:30:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
4294,United,99,214.3905294,Saturday,13:00:00,,Embraer EMB-145,-1,"Boston, USA",BOS,"Newark, USA",EWR
1687,American Airlines,139,567.816,Thursday,21:01:00,Food For Purchase,Airbus A321,-1,"Boston, USA",BOS,"Charlotte, USA",CLT
3657,United,85,177.35,Sunday,6:30:00,,EMBRAER 170,-1,"Boston, USA",BOS,"Newark, USA",EWR
175,American Airlines,241,183.5478881,Saturday,5:00:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Dallas, USA",DFW
578,American Airlines,137,250.3555752,Saturday,14:40:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
891,JetBlue Airways,214,1421.2,Saturday,6:00:00,,Embraer 190,100,"Boston, USA",BOS,"Tampa, USA",TPA
