flight_no,airline,duration,price,most_common_depart_day,most_common_depart_time,most_common_meal,most_common_equipment,avg_on_time,departure airport,departure city,arrival airport,arrival city
1233,United,247,240.1179846,Friday,13:30:00,Food For Purchase,Boeing 737-800,98,"Boston, USA",BOS,"Houston, USA",IAH
6170,United,105,374.6,Sunday,19:25:00,,,-1,"Boston, USA",BOS,"Washington, USA",IAD
1679,American Airlines,88,184.008914,Saturday,20:00:00,,Airbus A320,90,"Boston, USA",BOS,"Philadelphia, USA",PHL
3287,Delta,152,379.6,Friday,14:50:00,,Embraer 175,90,"Boston, USA",BOS,"Indianapolis, USA",IND
197,American Airlines,173,251.2727979,Wednesday,15:52:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Chicago, USA",ORD
1137,JetBlue Airways,131,127.0793396,Monday,7:45:00,,Embraer 190,100,"Boston, USA",BOS,"Detroit, USA",DTW
109,Spirit Airlines,127,93.58523207,Wednesday,21:05:00,,Airbus A319,-1,"Boston, USA",BOS,"Detroit, USA",DTW
2609,Delta,185,389.3692857,Sunday,18:20:00,Refreshment for purchase,BOEING (DOUGLAS) MD-88,90,"Boston, USA",BOS,"Atlanta, USA",ATL
777,JetBlue Airways,356,303.9074262,Monday,20:05:00,,Airbus A320,100,"Boston, USA",BOS,"Las Vegas, USA",LAS
1905,Delta,180,459.3777778,Saturday,11:15:00,Refreshment for purchase,Airbus A319,90,"Boston, USA",BOS,"Orlando, USA",MCO
1493,United,100,196.610912,Tuesday,10:29:00,,Boeing 737-800,100,"Boston, USA",BOS,"Newark, USA",EWR
550,Delta,130,374.3456053,Sunday,14:43:00,,Airbus A319,70,"Boston, USA",BOS,"Detroit, USA",DTW
3721,Delta,122,358.3870968,Wednesday,14:12:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
1431,American Airlines,357,252.5815094,Wednesday,6:05:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Phoenix, USA",PHX
456,American Airlines,138,243.7704348,Saturday,12:51:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
615,Spirit Airlines,203,182.278733,Thursday,18:13:00,,Airbus A320,50,"Boston, USA",BOS,"Fort Lauderdale, USA",FLL
3818,American Airlines,92,271.4333333,Tuesday,16:30:00,,Canadair RJ,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
146,Spirit Airlines,178,219.2979866,Thursday,14:46:00,,Airbus A320,90,"Boston, USA",BOS,"Atlanta, USA",ATL
366,United,402,382.1987179,Sunday,20:55:00,Food For Purchase,Boeing 737-800,80,"Boston, USA",BOS,"San Francisco, USA",SFO
2687,Delta,81,213.06112,Wednesday,17:00:00,,Boeing 717,60,"Boston, USA",BOS,"New York, USA",LGA
1898,United,248,231.2442977,Thursday,5:15:00,Food For Purchase,Airbus A319,80,"Boston, USA",BOS,"Houston, USA",IAH
2831,Delta,148,227.0984211,Monday,17:07:00,,BOEING (DOUGLAS) MD-88,-1,"Boston, USA",BOS,"Cincinnati, USA",CVG
609,Spirit Airlines,199,170.98125,Tuesday,11:10:00,,Airbus A319,-1,"Boston, USA",BOS,"Fort Lauderdale, USA",FLL
405,JetBlue Airways,391,242.6,Tuesday,16:45:00,,Airbus A320,-1,"Boston, USA",BOS,"Long Beach, USA",LGB
1883,United,400,346.973913,Thursday,7:18:00,Food For Purchase,Boeing 737-900,100,"Boston, USA",BOS,"San Francisco, USA",SFO
1672,American Airlines,100,295.8336465,Monday,15:00:00,,Airbus A321,90,"Boston, USA",BOS,"Philadelphia, USA",PHL
809,Delta,198,265.7029655,Saturday,6:20:00,Refreshment for purchase,MDC MD90,100,"Boston, USA",BOS,"Minneapolis, USA",MSP
763,Delta,80,229.6504834,Monday,13:00:00,,Boeing 717,90,"Boston, USA",BOS,"New York, USA",JFK
2607,American Airlines,244,288.6940741,Sunday,12:20:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Dallas, USA",DFW
708,American Airlines,91,294.5638144,Wednesday,16:15:00,,Airbus A321,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
1930,United,394,339.2809524,Tuesday,8:51:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"San Francisco, USA",SFO
1601,Delta,171,244.8228966,Wednesday,8:30:00,Refreshment for purchase,Airbus A320,80,"Boston, USA",BOS,"Atlanta, USA",ATL
812,Delta,88,241.7875,Saturday,8:00:00,,Boeing 717,-1,"Boston, USA",BOS,"New York, USA",JFK
2333,Delta,339,261.7531429,Wednesday,17:30:00,Food For Purchase,Airbus A320,90,"Boston, USA",BOS,"Salt Lake City, USA",SLC
676,United,244,242.1333959,Thursday,8:30:00,Food For Purchase,Airbus A319,80,"Boston, USA",BOS,"Houston, USA",IAH
687,JetBlue Airways,383,241.187521,Monday,20:40:00,Meal,Airbus A320,80,"Boston, USA",BOS,"Los Angeles, USA",LAX
1716,Delta,89,135.0234483,Monday,19:25:00,,Airbus A319,70,"Boston, USA",BOS,"New York, USA",JFK
2303,American Airlines,251,215.4059204,Saturday,8:00:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Dallas, USA",DFW
223,American Airlines,382,282.8703957,Thursday,18:25:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Los Angeles, USA",LAX
2045,United,250,239.242866,Wednesday,16:50:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Houston, USA",IAH
1461,Delta,190,368.4398361,Sunday,8:30:00,Refreshment for purchase,MDC MD90,80,"Boston, USA",BOS,"Atlanta, USA",ATL
1916,American Airlines,129,510.6404211,Saturday,5:00:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Charlotte, USA",CLT
2139,American Airlines,86,276.4517533,Sunday,12:00:00,,Airbus A319,90,"Boston, USA",BOS,"Washington, USA",DCA
1287,Alaska Airlines,382,270.2856107,Friday,12:43:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Los Angeles, USA",LAX
2006,American Airlines,149,412.08,Sunday,17:30:00,Food For Purchase,Airbus A319,90,"Boston, USA",BOS,"Charlotte, USA",CLT
1190,United,409,362.6714286,Wednesday,6:57:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"San Francisco, USA",SFO
827,JetBlue Airways,93,115.65685,Wednesday,17:45:00,,Embraer 190,100,"Boston, USA",BOS,"Baltimore, USA",BWI
5900,United,170,506.4366667,Sunday,13:15:00,Food and beverage for purchase,,-1,"Boston, USA",BOS,"Chicago, USA",ORD
3891,Delta,74,283.5257944,Thursday,11:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
597,Delta,82,246.0971186,Wednesday,6:00:00,,Airbus A319,100,"Boston, USA",BOS,"New York, USA",JFK
6224,Delta,130,332.3275,Tuesday,6:00:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
3376,United,170,253.11,Sunday,10:57:00,Food and beverage for purchase,,-1,"Boston, USA",BOS,"Chicago, USA",ORD
4072,Delta,78,247.5727778,Saturday,14:00:00,,,-1,"Boston, USA",BOS,"New York, USA",JFK
2442,Delta,85,158.91,Tuesday,19:25:00,,Airbus A319,70,"Boston, USA",BOS,"New York, USA",JFK
1265,Alaska Airlines,381,310.5807031,Tuesday,15:14:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Los Angeles, USA",LAX
1145,Delta,132,220.28875,Sunday,9:16:00,,BOEING 737-800 (WINGLETS) PASSENGER,90,"Boston, USA",BOS,"Detroit, USA",DTW
1162,Alaska Airlines,385,331.2188312,Sunday,9:30:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Los Angeles, USA",LAX
6169,United,106,399.5236957,Saturday,14:16:00,,Canadian Regional Jet 700,-1,"Boston, USA",BOS,"Washington, USA",IAD
2739,Delta,81,260.4156818,Monday,16:00:00,,Embraer 175,80,"Boston, USA",BOS,"New York, USA",LGA
853,Delta,180,196.3504795,Sunday,12:15:00,Refreshment for purchase,MDC MD90,100,"Boston, USA",BOS,"Atlanta, USA",ATL
4589,American Airlines,94,305.140625,Saturday,12:00:00,,Embraer 175,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
2031,American Airlines,340,298.6559551,Thursday,18:59:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Phoenix, USA",PHX
1117,United,306,315.0314286,Saturday,9:07:00,Food For Purchase,Boeing 737-900,-1,"Boston, USA",BOS,"Denver, USA",DEN
1689,Delta,80,238.1782911,Saturday,7:00:00,,Airbus A319,100,"Boston, USA",BOS,"New York, USA",JFK
2027,Delta,212,260.2573932,Friday,16:00:00,Refreshment for purchase,Airbus A320,90,"Boston, USA",BOS,"Minneapolis, USA",MSP
1342,Delta,138,252.3162544,Wednesday,10:52:00,,Airbus A319,90,"Boston, USA",BOS,"Detroit, USA",DTW
3405,United,93,348.97375,Saturday,19:02:00,,,-1,"Boston, USA",BOS,"Newark, USA",EWR
693,American Airlines,343,270.7428571,Saturday,12:55:00,Food For Purchase,Airbus A319,-1,"Boston, USA",BOS,"Phoenix, USA",PHX
1787,American Airlines,145,261.3123106,Sunday,14:35:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
1116,United,170,318.6147619,Sunday,12:15:00,Food and beverage for purchase,Boeing 737-900,-1,"Boston, USA",BOS,"Chicago, USA",ORD
900,Delta,178,247.5131575,Sunday,6:00:00,Refreshment for purchase,Boeing 757,100,"Boston, USA",BOS,"Atlanta, USA",ATL
4576,American Airlines,95,207.2595025,Saturday,8:00:00,,Embraer 175,80,"Boston, USA",BOS,"Philadelphia, USA",PHL
894,American Airlines,142,454.2890909,Saturday,9:35:00,Food For Purchase,Airbus A319,90,"Boston, USA",BOS,"Charlotte, USA",CLT
447,American Airlines,138,255.2401551,Saturday,12:50:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
701,Delta,183,252.4055556,Tuesday,17:15:00,Refreshment for purchase,Airbus A320,100,"Boston, USA",BOS,"Atlanta, USA",ATL
2398,Delta,176,331.2171277,Wednesday,16:00:00,Refreshment for purchase,MDC MD90,100,"Boston, USA",BOS,"Atlanta, USA",ATL
1317,JetBlue Airways,83,207.0766917,Monday,17:15:00,,Embraer 190,70,"Boston, USA",BOS,"New York, USA",JFK
6258,Delta,160,186.1886667,Tuesday,12:50:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
3858,American Airlines,107,359.6,Thursday,6:15:00,,Canadair RJ,100,"Boston, USA",BOS,"Pittsburgh, USA",PIT
1215,Delta,326,438.2133333,Tuesday,19:45:00,Food For Purchase,Airbus A320,-1,"Boston, USA",BOS,"Salt Lake City, USA",SLC
859,Delta,198,264.4307031,Monday,14:35:00,Refreshment for purchase,Boeing 737-900,90,"Boston, USA",BOS,"Minneapolis, USA",MSP
3368,United,90,274.5169048,Sunday,12:57:00,,,-1,"Boston, USA",BOS,"Newark, USA",EWR
4621,American Airlines,97,420.1843902,Sunday,15:00:00,,Embraer 175,90,"Boston, USA",BOS,"Philadelphia, USA",PHL
3281,Delta,169,410.15,Monday,14:48:00,,Embraer 175,90,"Boston, USA",BOS,"Indianapolis, USA",IND
6275,Delta,160,201.5895798,Friday,10:20:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
1740,American Airlines,145,320.6580392,Saturday,14:35:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Charlotte, USA",CLT
965,JetBlue Airways,219,1640.24,Saturday,10:30:00,,Embraer 190,-1,"Boston, USA",BOS,"Fort Myers, USA",RSW
3720,Delta,90,291.6216438,Tuesday,15:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1401,Delta,179,205.7442202,Wednesday,8:30:00,Refreshment for purchase,Boeing 737-900,80,"Boston, USA",BOS,"Atlanta, USA",ATL
1172,American Airlines,207,277.1705,Sunday,9:35:00,Food For Purchase,Boeing 757,-1,"Boston, USA",BOS,"Miami, USA",MIA
6266,Delta,122,304.4588304,Monday,11:30:00,,,96,"Boston, USA",BOS,"Raleigh, USA",RDU
2532,Delta,398,287.0738976,Monday,18:00:00,Food For Purchase,BOEING 737-800 (WINGLETS) PASSENGER,90,"Boston, USA",BOS,"Los Angeles, USA",LAX
4013,Delta,87,209.8759524,Thursday,15:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
2040,United,164,288.129011,Saturday,10:45:00,Food and beverage for purchase,Boeing 737-900,100,"Boston, USA",BOS,"Chicago, USA",ORD
1829,American Airlines,89,213.0412889,Sunday,12:15:00,,Embraer 190,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
4054,Delta,80,218.9744643,Wednesday,9:00:00,,,100,"Boston, USA",BOS,"New York, USA",JFK
3902,Delta,137,255.8882692,Tuesday,10:30:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
935,Delta,180,244.9314286,Monday,20:05:00,Refreshment for purchase,BOEING (DOUGLAS) MD-88,90,"Boston, USA",BOS,"Atlanta, USA",ATL
2269,JetBlue Airways,201,330.0413514,Saturday,13:00:00,,Airbus A320,-1,"Boston, USA",BOS,"Fort Lauderdale, USA",FLL
5416,United,164,248.175,Sunday,13:00:00,Food and beverage for purchase,Canadian Regional Jet 700,-1,"Boston, USA",BOS,"Chicago, USA",ORD
1130,Delta,78,221.1045374,Saturday,6:00:00,,Airbus A319,100,"Boston, USA",BOS,"New York, USA",JFK
3962,United,89,290.3090909,Saturday,16:45:00,,Embraer EMB-145,-1,"Boston, USA",BOS,"Newark, USA",EWR
1833,JetBlue Airways,397,315.9428571,Thursday,10:49:00,Meal,Airbus A319-321,-1,"Boston, USA",BOS,"San Francisco, USA",SFO
715,Delta,141,252.5557303,Friday,17:04:00,,Airbus A320,90,"Boston, USA",BOS,"Cincinnati, USA",CVG
6182,Delta,125,277.6148259,Monday,14:15:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
3955,Delta,161,389.6,Saturday,16:50:00,,,100,"Boston, USA",BOS,"Milwaukee, USA",MKE
2745,Delta,80,285.955,Sunday,16:00:00,,Embraer 175,80,"Boston, USA",BOS,"New York, USA",LGA
2711,American Airlines,178,227.021681,Wednesday,17:30:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Chicago, USA",ORD
1664,American Airlines,92,285.058804,Saturday,11:00:00,,Airbus A321,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
6273,Delta,144,288.0736842,Wednesday,6:20:00,,Canadian Regional Jet 700,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
2149,American Airlines,94,250.2681235,Thursday,17:00:00,,Airbus A319,100,"Boston, USA",BOS,"Washington, USA",DCA
2742,Delta,79,334.7372093,Sunday,16:00:00,,Embraer 175,80,"Boston, USA",BOS,"New York, USA",LGA
2317,JetBlue Airways,78,118.62,Sunday,20:55:00,,Embraer 190,-1,"Boston, USA",BOS,"New York, USA",JFK
3423,Delta,150,471.5366667,Monday,20:45:00,,Embraer 175,100,"Boston, USA",BOS,"Indianapolis, USA",IND
1362,American Airlines,171,193.6180156,Saturday,6:00:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Chicago, USA",ORD
2352,Delta,204,442.34,Saturday,11:26:00,Refreshment for purchase,Boeing 717,-1,"Boston, USA",BOS,"Orlando, USA",MCO
40,American Airlines,169,231.613834,Wednesday,19:10:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Chicago, USA",ORD
157,American Airlines,253,233.0096049,Wednesday,16:12:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"Dallas, USA",DFW
6306,Delta,128,230.6,Saturday,15:00:00,,,-1,"Boston, USA",BOS,"Raleigh, USA",RDU
305,Spirit Airlines,96,98.58962656,Saturday,9:16:00,,Airbus A319,-1,"Boston, USA",BOS,"Baltimore, USA",BWI
2274,Delta,147,305.3020388,Thursday,7:00:00,,Airbus A320,100,"Boston, USA",BOS,"Detroit, USA",DTW
3895,American Airlines,89,274.65625,Friday,20:30:00,,Canadair RJ,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
1011,JetBlue Airways,174,165.6097664,Monday,16:48:00,,Embraer 190,80,"Boston, USA",BOS,"Chicago, USA",ORD
2119,American Airlines,88,231.0445487,Thursday,16:00:00,,Airbus A319,90,"Boston, USA",BOS,"Washington, USA",DCA
3372,United,170,267.4433333,Sunday,13:15:00,Food and beverage for purchase,,-1,"Boston, USA",BOS,"Chicago, USA",ORD
159,JetBlue Airways,90,86.11004695,Tuesday,6:25:00,,Embraer 190,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
3660,Delta,146,419.285,Saturday,10:00:00,,Canadair RJ,90,"Boston, USA",BOS,"Columbus, USA",CMH
3899,Delta,85,256.5725397,Wednesday,15:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1472,United,163,278.1331516,Wednesday,10:20:00,Food and beverage for purchase,Airbus A320,-1,"Boston, USA",BOS,"Chicago, USA",ORD
6273,Delta,127,293.5276471,Monday,11:30:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
514,American Airlines,330,373,Saturday,12:30:00,Food For Purchase,Airbus A319,-1,"Boston, USA",BOS,"Phoenix, USA",PHX
133,JetBlue Airways,396,294.7565827,Saturday,8:14:00,Meal,Airbus A319-321,100,"Boston, USA",BOS,"San Francisco, USA",SFO
952,Delta,139,236.2690238,Wednesday,14:36:00,,Airbus A319,70,"Boston, USA",BOS,"Detroit, USA",DTW
6270,Delta,127,334.7128205,Thursday,9:33:00,,,-1,"Boston, USA",BOS,"Raleigh, USA",RDU
1649,United,402,343.6123596,Tuesday,7:00:00,Food For Purchase,Boeing 737-800,90,"Boston, USA",BOS,"San Francisco, USA",SFO
2531,Delta,389,269.963012,Saturday,7:30:00,Food For Purchase,BOEING 737-800 (WINGLETS) PASSENGER,90,"Boston, USA",BOS,"Los Angeles, USA",LAX
2552,American Airlines,249,231.114125,Monday,15:50:00,Food For Purchase,Boeing 757,90,"Boston, USA",BOS,"Dallas, USA",DFW
1651,American Airlines,99,253.1686874,Sunday,15:00:00,,Airbus A321,90,"Boston, USA",BOS,"Philadelphia, USA",PHL
1899,American Airlines,146,258.8063043,Saturday,8:05:00,Food For Purchase,Airbus A321,90,"Boston, USA",BOS,"Charlotte, USA",CLT
33,Alaska Airlines,378,551.807638,Thursday,16:40:00,"Food For Purchase,Food For Purchase",Boeing 737-900,-1,"Boston, USA",BOS,"Portland, USA",PDX
2740,Delta,86,321.105,Saturday,9:00:00,,Embraer 175,40,"Boston, USA",BOS,"New York, USA",LGA
2044,American Airlines,144,295.8444628,Monday,9:40:00,Food For Purchase,Airbus A321,90,"Boston, USA",BOS,"Charlotte, USA",CLT
1902,United,249,215.7428571,Saturday,12:50:00,Food For Purchase,Boeing 737-900,90,"Boston, USA",BOS,"Houston, USA",IAH
2485,Delta,194,229.4468644,Friday,17:20:00,Refreshment for purchase,Boeing 757,97,"Boston, USA",BOS,"Atlanta, USA",ATL
4058,Delta,75,365.21875,Thursday,13:30:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1037,United,104,322.4900699,Wednesday,14:41:00,,Airbus A320,100,"Boston, USA",BOS,"Washington, USA",IAD
1215,JetBlue Airways,91,224.3216667,Thursday,10:45:00,,Embraer 190,88,"Boston, USA",BOS,"Buffalo, USA",BUF
2131,American Airlines,79,231.09975,Monday,15:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
2549,Delta,203,285.7627907,Friday,18:27:00,Refreshment for purchase,BOEING (DOUGLAS) MD-88,90,"Boston, USA",BOS,"Minneapolis, USA",MSP
1130,Delta,197,356.8444776,Monday,11:48:00,Refreshment for purchase,Boeing 737-900,100,"Boston, USA",BOS,"Minneapolis, USA",MSP
2046,American Airlines,139,314.8058824,Sunday,12:51:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Charlotte, USA",CLT
339,United,284,271.1358938,Saturday,7:45:00,Food For Purchase,Boeing 737-900,90,"Boston, USA",BOS,"Denver, USA",DEN
1857,American Airlines,328,371.7081818,Sunday,10:15:00,Food For Purchase,Airbus A321,-1,"Boston, USA",BOS,"Phoenix, USA",PHX
4008,Delta,85,292.1082635,Monday,15:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
583,Delta,146,200.5110394,Thursday,9:02:00,,Airbus A319,90,"Boston, USA",BOS,"Detroit, USA",DTW
641,Spirit Airlines,356,185.4112033,Wednesday,19:03:00,,Airbus A319,70,"Boston, USA",BOS,"Las Vegas, USA",LAS
357,JetBlue Airways,106,185.92,Thursday,18:00:00,,Embraer 190,90,"Boston, USA",BOS,"Washington, USA",IAD
1598,United,276,318.0526316,Sunday,21:55:00,Food and beverage for purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Denver, USA",DEN
815,JetBlue Airways,88,240.7630769,Saturday,14:43:00,,Embraer 190,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
2532,American Airlines,72,115.6608219,Tuesday,10:25:00,,,-1,"Boston, USA",BOS,"New York, USA",JFK
2010,United,382,286.3152402,Saturday,6:20:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Los Angeles, USA",LAX
1114,Delta,170,313.04344,Saturday,11:00:00,Refreshment for purchase,BOEING (DOUGLAS) MD-88,100,"Boston, USA",BOS,"Atlanta, USA",ATL
1909,American Airlines,81,207.5846939,Saturday,5:00:00,,Airbus A321,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
6219,Delta,118,311.1281818,Saturday,11:30:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
738,American Airlines,95,304.1940884,Saturday,17:55:00,,Boeing 757-200,90,"Boston, USA",BOS,"Philadelphia, USA",PHL
1310,Delta,83,239.6535714,Saturday,15:00:00,,Boeing 717,90,"Boston, USA",BOS,"New York, USA",JFK
419,Spirit Airlines,114,163.5375,Sunday,10:20:00,,Airbus A319,-1,"Boston, USA",BOS,"Cleveland, USA",CLE
85,American Airlines,84,279.427957,Sunday,17:40:00,,,70,"Boston, USA",BOS,"New York, USA",JFK
1289,American Airlines,243,231.9079883,Saturday,5:00:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Dallas, USA",DFW
3792,American Airlines,111,214,Friday,11:15:00,,Canadair RJ,-1,"Boston, USA",BOS,"Pittsburgh, USA",PIT
3953,Delta,157,480.15,Monday,20:45:00,,,100,"Boston, USA",BOS,"Indianapolis, USA",IND
1304,American Airlines,151,391.1,Sunday,19:15:00,Food For Purchase,Boeing 737-800,80,"Boston, USA",BOS,"Charlotte, USA",CLT
875,American Airlines,148,431.2986364,Saturday,7:50:00,Food For Purchase,Airbus A321,90,"Boston, USA",BOS,"Charlotte, USA",CLT
321,JetBlue Airways,200,1338.9,Sunday,21:30:00,,Embraer 190,-1,"Boston, USA",BOS,"West Palm Beach, USA",PBI
15,American Airlines,71,252.644,Sunday,6:00:00,,,100,"Boston, USA",BOS,"New York, USA",JFK
2195,Delta,397,281.00625,Monday,8:02:00,Food For Purchase,BOEING 737-800 (WINGLETS) PASSENGER,-1,"Boston, USA",BOS,"Los Angeles, USA",LAX
2679,Delta,80,192.9022785,Friday,13:00:00,,Boeing 717,80,"Boston, USA",BOS,"New York, USA",LGA
363,United,102,245.6458543,Tuesday,19:15:00,,Airbus A320,100,"Boston, USA",BOS,"Washington, USA",IAD
2699,Delta,77,169.7607143,Wednesday,6:30:00,,Boeing 717,100,"Boston, USA",BOS,"New York, USA",LGA
825,Delta,159,180.2491954,Monday,16:45:00,,Airbus A320,90,"Boston, USA",BOS,"Cincinnati, USA",CVG
652,United,277,282.2338322,Wednesday,10:30:00,Food For Purchase,Boeing 737-900,100,"Boston, USA",BOS,"Denver, USA",DEN
643,American Airlines,142,282.9910498,Saturday,9:45:00,Food For Purchase,Airbus A320,90,"Boston, USA",BOS,"Charlotte, USA",CLT
2751,Delta,79,171.978125,Wednesday,7:30:00,,Embraer 175,90,"Boston, USA",BOS,"New York, USA",LGA
1915,JetBlue Airways,95,213.0254545,Saturday,17:30:00,,Embraer 190,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
3711,Delta,134,295.3957512,Friday,11:00:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
717,United,380,274.3769434,Thursday,18:20:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Los Angeles, USA",LAX
268,Delta,90,271.9399194,Saturday,17:10:00,,Airbus A319,80,"Boston, USA",BOS,"New York, USA",JFK
6280,Delta,122,289.958254,Monday,11:30:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
469,American Airlines,129,242.4469444,Thursday,5:00:00,Food For Purchase,Airbus A319,100,"Boston, USA",BOS,"Charlotte, USA",CLT
1264,United,84,203.6795038,Friday,9:29:00,,Boeing 737-900,100,"Boston, USA",BOS,"Newark, USA",EWR
1822,American Airlines,90,273.5107692,Friday,8:00:00,,Embraer 190,80,"Boston, USA",BOS,"Philadelphia, USA",PHL
599,United,167,258.5849067,Wednesday,16:00:00,Food and beverage for purchase,Boeing 737-900,100,"Boston, USA",BOS,"Chicago, USA",ORD
469,JetBlue Airways,194,357.3666667,Monday,21:30:00,,Airbus A320,-1,"Boston, USA",BOS,"Fort Lauderdale, USA",FLL
4055,Delta,86,339.9524138,Tuesday,17:10:00,,,80,"Boston, USA",BOS,"New York, USA",JFK
2120,American Airlines,93,234.1063866,Thursday,19:00:00,,Airbus A319,90,"Boston, USA",BOS,"Washington, USA",DCA
111,JetBlue Airways,167,146.5862661,Monday,8:00:00,,Airbus A320,60,"Boston, USA",BOS,"Chicago, USA",ORD
189,Delta,134,313.1017832,Saturday,9:20:00,,BOEING 737-800 (WINGLETS) PASSENGER,90,"Boston, USA",BOS,"Detroit, USA",DTW
6299,Delta,130,309.5873684,Monday,9:00:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
1399,Delta,196,262.2451613,Wednesday,18:40:00,Refreshment for purchase,Airbus A320,90,"Boston, USA",BOS,"Minneapolis, USA",MSP
17,JetBlue Airways,76,231.7277049,Thursday,15:25:00,,Embraer 190,-1,"Boston, USA",BOS,"New York, USA",JFK
1400,Delta,168,245.16375,Saturday,15:00:00,Refreshment for purchase,MDC MD90,100,"Boston, USA",BOS,"Atlanta, USA",ATL
2169,JetBlue Airways,215,455.935,Sunday,14:20:00,,Embraer 190,-1,"Boston, USA",BOS,"Fort Lauderdale, USA",FLL
3876,American Airlines,106,528.21,Monday,20:36:00,,Canadair RJ,70,"Boston, USA",BOS,"Pittsburgh, USA",PIT
1454,United,402,334.1,Tuesday,10:00:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"San Francisco, USA",SFO
2136,American Airlines,72,307.2522252,Sunday,12:00:00,,Embraer 190,90,"Boston, USA",BOS,"New York, USA",LGA
2667,Delta,80,187.4191803,Saturday,7:00:00,,Boeing 717,90,"Boston, USA",BOS,"New York, USA",LGA
4242,United,123,271.445,Tuesday,6:10:00,Food and beverage for purchase,Embraer EMB-145,-1,"Boston, USA",BOS,"Cleveland, USA",CLE
511,United,106,272.6698558,Saturday,14:16:00,,Airbus A320,100,"Boston, USA",BOS,"Washington, USA",IAD
2582,Delta,326,461.22,Sunday,19:45:00,Food For Purchase,BOEING 737-800 (WINGLETS) PASSENGER,-1,"Boston, USA",BOS,"Salt Lake City, USA",SLC
576,United,388,357.1819343,Saturday,18:00:00,Food For Purchase,Boeing 757 (757-300),79,"Boston, USA",BOS,"San Francisco, USA",SFO
763,Delta,172,388.64,Saturday,11:30:00,Refreshment for purchase,Boeing 757,100,"Boston, USA",BOS,"Atlanta, USA",ATL
365,Virgin America,377,305.3995712,Thursday,11:20:00,,Airbus A320,100,"Boston, USA",BOS,"Los Angeles, USA",LAX
