num_of_week,price
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,624.58081363386475
17,557.00282974375102
18,526.54238348451679
19,517.24016114037806
20,522.38840178434089
21,545.40009172909345
22,541.60081682045075
23,541.04810843014593
24,553.10651149086618
25,562.25859798038925
26,568.96083321108995
27,554.40111748272318
28,550.28857686119647
29,550.56813509544781
30,557.45451834178346
31,556.60777279521676
32,548.16821172248808
33,538.25421412300682
34,530.79252855819698
35,525.65801001251566
36,520.14531548757168
37,522.39673390970222
38,524.91013935607884
39,521.71891108247428
40,518.7508002560819
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
