Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Day_Of_Week,Avg_Delay
LAS,36.080056,-115.15225,ONT,34.056,-117.601194,1,15.02
MSP,44.881956,-93.221767,BOS,42.364347,-71.005181,3,7.57
IAH,29.984433,-95.341442,SLC,40.788389,-111.977772,0,11.85
ATL,33.636719,-84.428067,ORD,41.978603,-87.904842,2,15.30
MSY,29.993389,-90.258028,BWI,39.175361,-76.668333,0,7.63
BWI,39.175361,-76.668333,JAX,30.494056,-81.687861,5,14.41
HOU,29.645419,-95.278889,SAT,29.533694,-98.469778,6,11.84
MSP,44.881956,-93.221767,TYS,35.810972,-83.994028,4,28.11
LIH,21.975983,-159.338958,SJC,37.3626,-121.929022,4,-5.64
PDX,45.588722,-122.5975,SLC,40.788389,-111.977772,3,5.17
LCH,30.126112,-93.223335,DFW,32.896828,-97.037997,0,6.77
BNA,36.124472,-86.678194,MEM,35.042417,-89.976667,6,2.68
MSP,44.881956,-93.221767,HRL,26.2285,-97.654389,6,2.84
ATL,33.636719,-84.428067,PVD,41.732581,-71.420383,1,7.71
PHX,33.434278,-112.011583,TUS,32.116083,-110.941028,5,1.23
MHT,42.932556,-71.435667,EWR,40.6925,-74.168667,2,12.41
SAV,32.127583,-81.202139,EWR,40.6925,-74.168667,0,27.36
ABQ,35.0402222,-106.6091944,CLT,35.214,-80.943139,4,-1.21
PDX,45.588722,-122.5975,BOI,43.564361,-116.222861,6,9.88
ORD,41.978603,-87.904842,EWR,40.6925,-74.168667,5,16.16
ORD,41.978603,-87.904842,STL,38.748697,-90.370028,4,12.94
DAL,32.847111,-96.851778,RDU,35.877639,-78.787472,1,14.38
DFW,32.896828,-97.037997,CLE,41.411689,-81.849794,1,9.00
OAK,37.721278,-122.220722,BWI,39.175361,-76.668333,6,24.36
MCI,39.297606,-94.713905,STL,38.748697,-90.370028,1,7.34
ASE,39.2232,-106.869,ORD,41.978603,-87.904842,0,14.66
DSM,41.533972,-93.663083,CLT,35.214,-80.943139,3,4.73
FLL,26.072583,-80.15275,MEM,35.042417,-89.976667,1,-3.50
IAH,29.984433,-95.341442,LBB,33.663639,-101.822778,4,9.72
MIA,25.79325,-80.290556,OKC,35.393089,-97.600733,4,-6.00
ANC,61.174361,-149.996361,LAX,33.942536,-118.408075,0,-1.69
DFW,32.896828,-97.037997,HSV,34.6371944,-86.7750556,5,8.57
MHT,42.932556,-71.435667,IAD,38.944533,-77.455811,5,75.17
LAN,42.7787,-84.587357,ATL,33.636719,-84.428067,2,323.00
PBI,26.683161,-80.095589,ISP,40.79525,-73.100222,3,21.91
SJC,37.3626,-121.929022,LAS,36.080056,-115.15225,1,8.73
CLE,41.411689,-81.849794,CRW,38.373147,-81.593189,6,-3.00
YAK,59.3012,-139.3937,JNU,58.354972,-134.576278,3,-9.01
SAT,29.533694,-98.469778,TPA,27.975472,-82.53325,4,13.89
MSY,29.993389,-90.258028,CVG,39.048836,-84.667822,6,7.85
ORD,41.978603,-87.904842,DTW,42.212444,-83.353389,4,12.94
BUF,42.940525,-78.732167,DTW,42.212444,-83.353389,1,6.20
PSG,56.801667,-132.945278,JNU,58.354972,-134.576278,0,0.87
ILM,34.270615,-77.902569,LGA,40.777245,-73.872608,0,25.97
SAT,29.533694,-98.469778,PHX,33.434278,-112.011583,2,5.25
DAL,32.847111,-96.851778,MKE,42.947222,-87.896583,4,14.70
CVG,39.048836,-84.667822,MSN,43.139858,-89.337514,5,6.75
RDU,35.877639,-78.787472,BDL,41.938889,-72.683222,2,4.70
SAT,29.533694,-98.469778,CLT,35.214,-80.943139,5,5.12
OAK,37.721278,-122.220722,KOA,19.738767,-156.045631,6,-4.36
MIA,25.79325,-80.290556,TLH,30.396528,-84.350333,0,4.39
MDW,41.785972,-87.752417,TUS,32.116083,-110.941028,0,16.88
ATL,33.636719,-84.428067,PDX,45.588722,-122.5975,1,6.50
BTV,44.471861,-73.153278,IAD,38.944533,-77.455811,3,12.66
RDU,35.877639,-78.787472,LAS,36.080056,-115.15225,6,5.75
MEM,35.042417,-89.976667,IAH,29.984433,-95.341442,5,5.78
GPT,30.407278,-89.070111,IAH,29.984433,-95.341442,5,1.67
IAD,38.944533,-77.455811,MCO,28.429394,-81.308994,4,13.31
MDW,41.785972,-87.752417,AUS,30.194528,-97.669889,1,15.03
BNA,36.124472,-86.678194,GSP,34.895556,-82.218889,6,7.82
JFK,40.639751,-73.778925,PHX,33.434278,-112.011583,5,12.24
OKC,35.393089,-97.600733,MCI,39.297606,-94.713905,3,6.02
PHX,33.434278,-112.011583,DEN,39.861656,-104.673178,3,10.75
MEM,35.042417,-89.976667,AUS,30.194528,-97.669889,1,2.46
HOU,29.645419,-95.278889,TUL,36.198389,-95.888111,1,11.55
SLC,40.788389,-111.977772,DSM,41.533972,-93.663083,6,12.88
SFO,37.618972,-122.374889,JFK,40.639751,-73.778925,2,10.31
SAN,32.733556,-117.189667,ORD,41.978603,-87.904842,5,7.39
GSP,34.895556,-82.218889,CLE,41.411689,-81.849794,4,10.16
JFK,40.639751,-73.778925,SYR,43.111187,-76.106311,2,13.54
FAT,36.776194,-119.71814,DFW,32.896828,-97.037997,6,24.08
MCI,39.297606,-94.713905,HOU,29.645419,-95.278889,6,12.13
DTW,42.212444,-83.353389,OKC,35.393089,-97.600733,5,9.31
RSW,26.536167,-81.755167,PIT,40.491467,-80.232872,5,12.04
IAD,38.944533,-77.455811,HNL,21.318681,-157.922428,6,12.02
ATL,33.636719,-84.428067,MEM,35.042417,-89.976667,3,8.08
SLC,40.788389,-111.977772,MEM,35.042417,-89.976667,0,5.41
SFO,37.618972,-122.374889,TUS,32.116083,-110.941028,5,12.33
BWI,39.175361,-76.668333,MKE,42.947222,-87.896583,3,16.54
ORD,41.978603,-87.904842,GSO,36.09775,-79.937306,0,18.10
MCI,39.297606,-94.713905,DCA,38.852083,-77.037722,3,8.62
HOU,29.645419,-95.278889,MAF,31.942528,-102.201914,6,9.35
DCA,38.852083,-77.037722,DFW,32.896828,-97.037997,5,4.06
DTW,42.212444,-83.353389,SAV,32.127583,-81.202139,2,9.56
BOS,42.364347,-71.005181,MYR,33.67975,-78.928333,4,2.10
BDL,41.938889,-72.683222,PHL,39.871944,-75.241139,0,1.22
HOU,29.645419,-95.278889,GSP,34.895556,-82.218889,1,16.42
BNA,36.124472,-86.678194,CLE,41.411689,-81.849794,2,7.90
PVD,41.732581,-71.420383,MDW,41.785972,-87.752417,4,7.44
CMH,39.997972,-82.891889,MIA,25.79325,-80.290556,6,12.61
DAL,32.847111,-96.851778,PHX,33.434278,-112.011583,2,10.61
SYR,43.111187,-76.106311,JFK,40.639751,-73.778925,1,7.16
DFW,32.896828,-97.037997,LGA,40.777245,-73.872608,2,9.03
ORD,41.978603,-87.904842,SAN,32.733556,-117.189667,2,16.76
DCA,38.852083,-77.037722,ATL,33.636719,-84.428067,0,8.52
IAH,29.984433,-95.341442,PIA,40.664203,-89.693258,5,-2.44
BNA,36.124472,-86.678194,IAH,29.984433,-95.341442,0,13.63
OMA,41.303167,-95.894069,PHX,33.434278,-112.011583,6,4.42
MSY,29.993389,-90.258028,OAK,37.721278,-122.220722,0,14.54
EWR,40.6925,-74.168667,TPA,27.975472,-82.53325,3,17.11
LAS,36.080056,-115.15225,PDX,45.588722,-122.5975,4,9.26
SFO,37.618972,-122.374889,MSY,29.993389,-90.258028,4,16.35
SFO,37.618972,-122.374889,IND,39.717331,-86.294383,4,17.73
LIH,21.975983,-159.338958,SAN,32.733556,-117.189667,5,-10.65
GEG,47.619861,-117.533833,OAK,37.721278,-122.220722,5,5.10
ATL,33.636719,-84.428067,GSP,34.895556,-82.218889,6,8.55
MDW,41.785972,-87.752417,ORF,36.894611,-76.201222,4,21.36
DEN,39.861656,-104.673178,PIA,40.664203,-89.693258,4,15.32
ORD,41.978603,-87.904842,MIA,25.79325,-80.290556,6,11.06
LAS,36.080056,-115.15225,PHL,39.871944,-75.241139,4,7.18
PDX,45.588722,-122.5975,AUS,30.194528,-97.669889,4,5.65
MHT,42.932556,-71.435667,EWR,40.6925,-74.168667,6,8.09
MIA,25.79325,-80.290556,CHS,32.898647,-80.040528,3,7.64
CMH,39.997972,-82.891889,DTW,42.212444,-83.353389,2,2.06
MYR,33.67975,-78.928333,EWR,40.6925,-74.168667,4,-9.00
SBA,34.426211,-119.840372,DEN,39.861656,-104.673178,6,9.80
ATL,33.636719,-84.428067,TLH,30.396528,-84.350333,5,6.39
ORF,36.894611,-76.201222,TPA,27.975472,-82.53325,0,4.10
MDW,41.785972,-87.752417,CHS,32.898647,-80.040528,1,14.04
PHX,33.434278,-112.011583,DRO,37.151516,-107.75377,5,-0.86
SFO,37.618972,-122.374889,SEA,47.449,-122.309306,3,10.03
CLE,41.411689,-81.849794,MCO,28.429394,-81.308994,2,7.63
IAD,38.944533,-77.455811,PVD,41.732581,-71.420383,5,10.76
TPA,27.975472,-82.53325,CAK,40.9160833,-81.4421944,3,12.11
LAX,33.942536,-118.408075,JFK,40.639751,-73.778925,0,10.76
SMF,38.695417,-121.590778,ORD,41.978603,-87.904842,0,5.01
JFK,40.639751,-73.778925,PWM,43.646161,-70.309281,3,13.13
ORD,41.978603,-87.904842,RIC,37.505167,-77.319667,5,10.01
PBI,26.683161,-80.095589,LGA,40.777245,-73.872608,2,19.32
SFO,37.618972,-122.374889,JFK,40.639751,-73.778925,4,11.74
ATL,33.636719,-84.428067,BWI,39.175361,-76.668333,2,9.36
MDW,41.785972,-87.752417,PIT,40.491467,-80.232872,1,13.37
MTJ,38.509794,-107.894242,IAH,29.984433,-95.341442,1,12.41
OMA,41.303167,-95.894069,CLT,35.214,-80.943139,0,5.47
XNA,36.2818694,-94.3068111,SFO,37.618972,-122.374889,2,-4.25
IAD,38.944533,-77.455811,STL,38.748697,-90.370028,2,9.80
CLT,35.214,-80.943139,PWM,43.646161,-70.309281,1,7.45
JFK,40.639751,-73.778925,ABQ,35.0402222,-106.6091944,6,13.63
LGA,40.777245,-73.872608,MEM,35.042417,-89.976667,3,12.98
ORF,36.894611,-76.201222,ATL,33.636719,-84.428067,1,5.53
BHM,33.562942,-86.75355,LAS,36.080056,-115.15225,1,8.96
SJC,37.3626,-121.929022,ORD,41.978603,-87.904842,4,11.56
BWI,39.175361,-76.668333,CVG,39.048836,-84.667822,1,6.74
CAK,40.9160833,-81.4421944,DEN,39.861656,-104.673178,4,3.43
IAH,29.984433,-95.341442,MEM,35.042417,-89.976667,0,8.72
SEA,47.449,-122.309306,CLT,35.214,-80.943139,6,5.15
DCA,38.852083,-77.037722,CVG,39.048836,-84.667822,6,12.34
MEM,35.042417,-89.976667,OMA,41.303167,-95.894069,1,-2.64
MIA,25.79325,-80.290556,DFW,32.896828,-97.037997,6,11.65
CMH,39.997972,-82.891889,MIA,25.79325,-80.290556,0,14.42
SLC,40.788389,-111.977772,MSP,44.881956,-93.221767,2,2.21
ALB,42.748267,-73.801692,MCO,28.429394,-81.308994,5,11.44
SAN,32.733556,-117.189667,LAS,36.080056,-115.15225,2,9.73
EWR,40.6925,-74.168667,DCA,38.852083,-77.037722,3,16.16
PHX,33.434278,-112.011583,CMH,39.997972,-82.891889,1,8.68
PBI,26.683161,-80.095589,CLT,35.214,-80.943139,1,4.65
ATL,33.636719,-84.428067,BNA,36.124472,-86.678194,0,7.31
BDL,41.938889,-72.683222,RSW,26.536167,-81.755167,1,4.40
IAD,38.944533,-77.455811,RDU,35.877639,-78.787472,6,10.84
ALB,42.748267,-73.801692,DTW,42.212444,-83.353389,4,2.18
GSP,34.895556,-82.218889,MDW,41.785972,-87.752417,5,2.66
GRR,42.880833,-85.522806,ORD,41.978603,-87.904842,1,8.48
MSY,29.993389,-90.258028,EYW,24.556111,-81.759556,3,12.62
HOU,29.645419,-95.278889,CRP,27.770361,-97.501222,3,13.60
OGG,20.89865,-156.430458,SEA,47.449,-122.309306,4,5.27
LAS,36.080056,-115.15225,IND,39.717331,-86.294383,2,16.16
SEA,47.449,-122.309306,CHS,32.898647,-80.040528,4,0.73
CAK,40.9160833,-81.4421944,EWR,40.6925,-74.168667,6,1.62
IAH,29.984433,-95.341442,LGA,40.777245,-73.872608,4,21.89
IAH,29.984433,-95.341442,RDU,35.877639,-78.787472,2,8.41
GEG,47.619861,-117.533833,LAS,36.080056,-115.15225,1,7.05
AUS,30.194528,-97.669889,SFO,37.618972,-122.374889,2,15.37
LIH,21.975983,-159.338958,OGG,20.89865,-156.430458,0,-3.02
JFK,40.639751,-73.778925,PHL,39.871944,-75.241139,1,15.59
ROA,37.325472,-79.975417,ORD,41.978603,-87.904842,6,6.54
MCO,28.429394,-81.308994,ATL,33.636719,-84.428067,4,8.07
EWR,40.6925,-74.168667,MTJ,38.509794,-107.894242,6,20.63
TYS,35.810972,-83.994028,EWR,40.6925,-74.168667,2,16.65
SRQ,27.395444,-82.554389,CLT,35.214,-80.943139,2,5.59
SAV,32.127583,-81.202139,IAH,29.984433,-95.341442,1,10.51
SLC,40.788389,-111.977772,ORD,41.978603,-87.904842,1,13.15
ANC,61.174361,-149.996361,HNL,21.318681,-157.922428,4,-3.14
JFK,40.639751,-73.778925,HNL,21.318681,-157.922428,4,6.80
CAK,40.9160833,-81.4421944,DEN,39.861656,-104.673178,3,7.77
HOU,29.645419,-95.278889,OKC,35.393089,-97.600733,1,11.26
IAD,38.944533,-77.455811,PVD,41.732581,-71.420383,3,8.55
LGB,33.817722,-118.151611,SLC,40.788389,-111.977772,3,4.31
PVD,41.732581,-71.420383,CLT,35.214,-80.943139,4,2.84
ICT,37.649944,-97.433056,DFW,32.896828,-97.037997,3,14.49
DEN,39.861656,-104.673178,BNA,36.124472,-86.678194,1,12.00
RDM,44.254066,-121.149964,PDX,45.588722,-122.5975,1,2.30
SEA,47.449,-122.309306,DAL,32.847111,-96.851778,2,8.90
DTW,42.212444,-83.353389,BDL,41.938889,-72.683222,2,10.26
MTJ,38.509794,-107.894242,DFW,32.896828,-97.037997,1,10.04
