Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Time_Of_Day,Avg_Delay
BWI,39.175361,-76.668333,RDU,35.877639,-78.787472,21,17.44
IAD,38.944533,-77.455811,OKC,35.393089,-97.600733,20,2.57
IAD,38.944533,-77.455811,BUF,42.940525,-78.732167,13,-7.00
ORD,41.978603,-87.904842,GRR,42.880833,-85.522806,21,18.96
BHM,33.562942,-86.75355,MCO,28.429394,-81.308994,19,20.97
EGE,39.642556,-106.917694,DFW,32.896828,-97.037997,14,25.75
ATL,33.636719,-84.428067,SRQ,27.395444,-82.554389,15,4.63
DFW,32.896828,-97.037997,MSP,44.881956,-93.221767,20,19.26
ORD,41.978603,-87.904842,SEA,47.449,-122.309306,17,19.22
MKE,42.947222,-87.896583,PHX,33.434278,-112.011583,7,-0.35
BOS,42.364347,-71.005181,CMH,39.997972,-82.891889,14,16.40
BOS,42.364347,-71.005181,BWI,39.175361,-76.668333,8,1.69
ORD,41.978603,-87.904842,OMA,41.303167,-95.894069,10,12.24
CVG,39.048836,-84.667822,PHL,39.871944,-75.241139,20,14.65
TPA,27.975472,-82.53325,MKE,42.947222,-87.896583,18,24.02
ORD,41.978603,-87.904842,ABQ,35.0402222,-106.6091944,12,-3.00
ORD,41.978603,-87.904842,DEN,39.861656,-104.673178,8,13.23
BOS,42.364347,-71.005181,CAK,40.9160833,-81.4421944,6,7.45
BWI,39.175361,-76.668333,AUS,30.194528,-97.669889,22,2.91
SFO,37.618972,-122.374889,JFK,40.639751,-73.778925,6,-0.51
PBI,26.683161,-80.095589,IAH,29.984433,-95.341442,5,7.44
RIC,37.505167,-77.319667,JFK,40.639751,-73.778925,6,-0.31
MDW,41.785972,-87.752417,SNA,33.675667,-117.868222,10,12.53
EWR,40.6925,-74.168667,SDF,38.1740858,-85.7364989,11,-4.40
ATL,33.636719,-84.428067,LEX,38.0365,-84.605889,23,4.84
SLC,40.788389,-111.977772,GEG,47.619861,-117.533833,16,6.21
BTR,30.533167,-91.149639,MEM,35.042417,-89.976667,6,10.12
DFW,32.896828,-97.037997,DCA,38.852083,-77.037722,16,9.40
SAT,29.533694,-98.469778,MSY,29.993389,-90.258028,12,0.35
BWI,39.175361,-76.668333,ORF,36.894611,-76.201222,21,17.47
ORD,41.978603,-87.904842,BTV,44.471861,-73.153278,18,16.84
MCO,28.429394,-81.308994,RDU,35.877639,-78.787472,12,11.79
DTW,42.212444,-83.353389,MIA,25.79325,-80.290556,9,1.00
PHX,33.434278,-112.011583,SEA,47.449,-122.309306,20,15.25
ATL,33.636719,-84.428067,ICT,37.649944,-97.433056,10,23.00
CVG,39.048836,-84.667822,EWR,40.6925,-74.168667,8,8.73
EWR,40.6925,-74.168667,ROC,43.118866,-77.672389,19,1.08
TUS,32.116083,-110.941028,PHX,33.434278,-112.011583,16,1.63
ALB,42.748267,-73.801692,MSP,44.881956,-93.221767,6,4.67
ATL,33.636719,-84.428067,ABQ,35.0402222,-106.6091944,16,11.39
MCO,28.429394,-81.308994,SYR,43.111187,-76.106311,11,13.24
IAH,29.984433,-95.341442,CLE,41.411689,-81.849794,11,6.09
MCO,28.429394,-81.308994,EWR,40.6925,-74.168667,20,22.16
HOU,29.645419,-95.278889,SLC,40.788389,-111.977772,20,38.33
ATL,33.636719,-84.428067,PHX,33.434278,-112.011583,12,0.40
OAK,37.721278,-122.220722,BNA,36.124472,-86.678194,11,9.49
ORD,41.978603,-87.904842,BOI,43.564361,-116.222861,9,12.00
SAV,32.127583,-81.202139,ORD,41.978603,-87.904842,14,24.08
SFO,37.618972,-122.374889,RNO,39.499108,-119.768108,7,1.41
BWI,39.175361,-76.668333,DTW,42.212444,-83.353389,19,12.89
ORD,41.978603,-87.904842,LGA,40.777245,-73.872608,6,1.64
ORD,41.978603,-87.904842,SAT,29.533694,-98.469778,9,11.24
TPA,27.975472,-82.53325,LGA,40.777245,-73.872608,16,17.20
SFO,37.618972,-122.374889,DTW,42.212444,-83.353389,19,-3.00
ALB,42.748267,-73.801692,EWR,40.6925,-74.168667,9,1.66
TUS,32.116083,-110.941028,SAN,32.733556,-117.189667,19,21.24
ATL,33.636719,-84.428067,ORD,41.978603,-87.904842,20,20.74
MKE,42.947222,-87.896583,RSW,26.536167,-81.755167,15,14.40
JFK,40.639751,-73.778925,SRQ,27.395444,-82.554389,7,1.79
GSO,36.09775,-79.937306,ORD,41.978603,-87.904842,9,11.87
BDL,41.938889,-72.683222,ORD,41.978603,-87.904842,14,17.10
EWR,40.6925,-74.168667,MSN,43.139858,-89.337514,12,0.40
BNA,36.124472,-86.678194,SAT,29.533694,-98.469778,9,4.05
LAS,36.080056,-115.15225,MCI,39.297606,-94.713905,14,22.21
LAS,36.080056,-115.15225,OMA,41.303167,-95.894069,9,3.13
AUS,30.194528,-97.669889,MCO,28.429394,-81.308994,14,5.75
TPA,27.975472,-82.53325,MDW,41.785972,-87.752417,17,14.06
MCO,28.429394,-81.308994,PIT,40.491467,-80.232872,9,2.74
HOU,29.645419,-95.278889,MDW,41.785972,-87.752417,21,19.26
LAX,33.942536,-118.408075,CLE,41.411689,-81.849794,13,8.99
GPT,30.407278,-89.070111,DFW,32.896828,-97.037997,7,3.98
DFW,32.896828,-97.037997,DEN,39.861656,-104.673178,18,21.80
DFW,32.896828,-97.037997,MSY,29.993389,-90.258028,23,9.71
OGG,20.89865,-156.430458,KOA,19.738767,-156.045631,15,0.19
HNL,21.318681,-157.922428,OGG,20.89865,-156.430458,20,0.05
CLE,41.411689,-81.849794,ALB,42.748267,-73.801692,13,14.00
SFO,37.618972,-122.374889,OKC,35.393089,-97.600733,18,18.80
